stanford.edu,stanford.edu,Stanford University,,"Stanford University is one of the world's leading research and teaching institutions.  It is located in Stanford, California."
stanford.edu,doresearch.stanford.edu,"Independent Laboratories, Centers, and Institutes  | DoResearch",,
stanford.edu,visit.stanford.edu,Maps & Directions : Stanford University,,"Visitor Information Services at Stanford University--one of the world's leading research and teaching institutions. It is located in Palo Alto, California."
stanford.edu,library.stanford.edu,Ask us! | Stanford University Libraries,,
stanford.edu,itservices.stanford.edu,Computing and Communication | University IT,,
stanford.edu,facts.stanford.edu,University Governance: Stanford University Facts,,An introduction to one of the great American universities.  Current facts and figures about Stanford University.
stanford.edu,web.stanford.edu,Stanford University: Office of The Ombuds - Homepage,,
stanford.edu,news.stanford.edu,Stanford News: Faculty and Staff News,,Faculty and Staff News news from Stanford University.
stanford.edu,arts.stanford.edu,"
    Departments & Programs |     Stanford Arts  ",,
stanford.edu,postdocs.stanford.edu,Open Postdoctoral Positions - Info for Prospective Postdoctural Scholars - Postdoctoral Scholars - Stanford University School of Medicine,,
stanford.edu,www.law.stanford.edu,Executive Education | Stanford Law School,,
stanford.edu,physics.stanford.edu,Bruce Macintosh | Department of Physics,, 
stanford.edu,studentaffairs.stanford.edu,Office of the University Registrar | Student Affairs,,
stanford.edu,ucomm.stanford.edu, For Journalists | Stanford Office of University Communications,,
stanford.edu,sustainable.stanford.edu,Stanford Energy System Innovations (SESI) - Sustainable Stanford - Stanford University,,
stanford.edu,scopeblog.stanford.edu,Medical Schools | Scope Blog,,
stanford.edu,artsinstitute.stanford.edu,"
    Arts Immersion | Stanford Arts Institute  ",,
stanford.edu,alumni.stanford.edu,About Us: Department Phone Numbers - Stanford Alumni Association,,
stanford.edu,med.stanford.edu,Home | School of Medicine | Stanford Medicine,,"Stanford University School of Medicine offers programs leading to an MD, MS or PhD degree."
stanford.edu,dlcl.stanford.edu,"Comparative Literature. About | DIVISION OF LITERATURES, CULTURES, AND LANGUAGES",,
stanford.edu,earth.stanford.edu,"Emmett Interdisciplinary Program in Environment and Resources | School of Earth, Energy & Environmental Sciences",,
stanford.edu,ed.stanford.edu,Alumni | Stanford Graduate School of Education,,
stanford.edu,microimmuno.stanford.edu,Microbiology & Immunology - Stanford University School of Medicine,,
stanford.edu,admission.stanford.edu,Contact Us : Stanford University,,"Undergraduate Admission at Stanford University--one of the world's leading research and teaching institutions. It is located in Palo Alto, California."
stanford.edu,financialaid.stanford.edu,Contact Us : Stanford University,,"Financial Aid Office at Stanford University--one of the world's leading research and teaching institutions. It is located in Palo Alto, California."
