DOMAIN,FQDN,URL,keywordInURL,title,description,keywords,hyperlinks,admission,engineering,management,gre,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/civil-and-environmental-engineering/engineering-management-meng-ithaca,True,"Engineering Management, M.Eng. (Ithaca) | Graduate School",,,0,0,9,6,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics,False,Academics | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-study/field-structure,False,The Field Structure | Graduate School,,,0,0,3,5,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/fields,False,List of Fields | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/graduate-degrees,True,Graduate Degrees | Graduate School,,,0,0,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/learning-assessment,False,Learning Assessment | Graduate School,,,0,1,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/requirements/course-enrollment,False,Course Enrollment | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/admissions,True,Steps for Admission | Graduate School,,,0,4,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/admissions/explore,True,Explore | Graduate School,,,0,2,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/admissions/prepare,True,Prepare | Graduate School,,,0,2,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/admissions/apply,True,Apply | Graduate School,,,0,0,0,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/costs-funding/stipend-rates,False,Stipend Rates | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/OISE,False,About OISE | Graduate School,,,0,0,0,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/about-us/history-and-traditions,False,History of Graduate Study at Cornell | Graduate School,,,0,1,3,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/about/our-offices,False,Our Offices | Graduate School,,,0,3,2,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/about/contacts,False,Contacts | Graduate School,,,0,1,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/admissions/applying/apply-now,True,Apply Now | Graduate School,,,0,0,0,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/cu-cirtl,False,"Center for the Integration of Research, Teaching, and Learning (CU-CIRTL) | Graduate School",,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/civil-and-environmental-engineering,True,Civil and Environmental Engineering | Graduate School,,,0,1,33,10,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/aerospace-engineering,True,Aerospace Engineering | Graduate School,,,0,0,14,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/aerospace-engineering/aerospace-engineering-meng-ithaca,True,"Aerospace Engineering, M.Eng. (Ithaca) | Graduate School",,,0,0,13,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/aerospace-engineering/aerospace-engineering-phd-ithaca,True,"Aerospace Engineering, Ph.D. (Ithaca) | Graduate School",,,0,1,10,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/africana-studies,False,Africana Studies | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/africana-studies/african-studies-phd-ithaca,False,"Africana Studies, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,1,
